Recipe_id;Product_id;Amount;Unit_id
1;1;1;1
1;2;2;1
1;3;1;1
1;4;1;6
1;5;1;3
1;6;1;2
2;8;1;4
2;9;1;2
2;10;4;2
3;1;5;1
3;11;1;4
3;12;1;2
3;13;5;4
3;14;50;7
3;15;7;4
3;16;1;3
7;5;1;5
7;18;1;4
7;37;2;4
7;38;1;5
7;39;1;5
7;40;300;7
9;3;200;7
9;4;1;5
9;5;1;5
9;9;10;7
9;36;40;7
10;5;1;5
10;20;2;4
10;27;1;5
10;33;1;2
10;42;200;7
10;43;200;7
10;44;1;4
10;45;1;4
10;46;1;5
19;17;1000;7
19;18;4;4
19;19;1;4
19;20;4;4
19;21;1;4
19;22;2;4
19;23;4;2
19;24;50;7
19;25;100;7
19;26;100;8
19;27;1;6
19;28;1;6
20;3;5;1
20;5;1;6
20;7;3;4
20;8;100;7
20;27;1;6
20;29;100;7
20;30;20;7
21;5;1;6
21;7;4;4
21;27;1;6
21;31;450;7
21;32;1;4
21;33;3;2
21;34;1;9
22;2;250;8
22;4;1;5
22;35;250;8
22;36;5;2
25;1;1;1
25;2;2;1
25;4;1;1
25;6;20;7
25;13;1000;7
25;39;0;7
