Recipe_id	Product_Id	Amount	Unit
1	1	3	ēd.k.
1	2	1	glāze(s)
1	3	1	glāze(s)
1	4	1	šķipsna(s)
1	5	1	tēj.k.
1	6	1	ēd.k.
2	8	1	gab.
2	9	1	ēd.k.
2	10	4	ēd.k.
3	1	5	glāze(s)
3	11	1	gab.
3	12	1	ēd.k.
3	13	5	gab.
3	14	50	g
3	15	7	gab.
3	16	1	tēj.k.
19	17	1	kg
19	18	4	gab.
19	19	1	gab.
19	20	4	gab.
19	21	1	
19	22	2	
19	23	4	ēd.k.
19	24	1	saišķ.
19	25	100	g
19	26	100	ml
19	27	1	šķipsna(s)
19	28	1	šķipsna(s)
20	7	3	gab.
20	3	5	glāze(s)
20	8	100	g
20	29	100	g
20	30	~20	g
20	5	1	šķipsna(s)
20	27	1	šķipsna(s)
21	31	450	g
21	32	1	gab.
21	33	3	ēd.k.
21	7	4	gab.
21	5	1	šķipsna(s)
21	27	1	šķipsna(s)
21	34		rotāšanai
22	35	250	ml
22	2	250	ml
22	36	5	ēd.k.
22	4		pēc garšas
9	3	200	g
9	36	40	g
9	9	10	g
9	4		pēc garšas
9	5		pēc garšas
7	40	300	g
7	18	1	gab.
7	37	2	gab.
7	38		pēc garšas
7	39		pēc garšas
7	5		pēc garšas
7	41		pēc garšas
10	42	200	g
10	43	1	bundža
10	45	1	gab.
10	20	2-3	gab.
10	44	1	gab.
10	33	1	ēd.k.
10	5		pēc garšas
10	27		pēc garšas
10	46		pēc garšas
