Product_id;ProductName;Calories
1;Auzu pārslas;310
2;Ūdens;0
3;Piens;47
4;Cukurs;402
5;Sāls;0
6;Aveņu ievārījums;296
7;Olas;142
8;Brokoļu galviņa;28
9;Sviests;781
10;Ciedru rieksti;673
11;apelsīns;33
12;dzērvenes;33
13;āboli;44
14;ķirbis;26
15;valrieksti;654
16;medus;335
17;ķirštomāti ķekaros;19
18;tomāts;19
19;Čili pipars;57
20;Ķiploka daiva;51
21;ciabatta maize;240
22;sarkanais sīpols;43
23;balzametiķis;10
24;baziliks;10
25;skābais krējums;302
26;olīveļļa;894
27;pipari;0
28;jūras sāls;0
29;kūpināta vista;160
30;Cietais siers;403
31;kartupeļi jaunie;76
32;sīpols spāņu;43
33;eļļa augu;710
34;pētersīļi;38
35;smiltsērkšķu sula;51
36;manna;354
37;gurķi;15
38;loki;18
39;dilles;30
40;biezpiens trekns;228
42;makaroni;358
43;Sautētas gaļas konservi;734
44;burkāns;38
45;sīpols;43
46;tomātu pasta;115
47;Kukurūza;44
