Recipe_ID	RecipeName	Description
1	Auzu putra	-
2	Brokoļi ar ciedru riekstiem	-
3	Auzu pārslu muslis	-
4	ĀbolmaizĪtes	-
5	Olas ar bekonu	-
6	Vista ar dārzeņiem	-
7	Biezpiens ar krējumu gurķiem	-
8	Vīnogas ar sieru	-
9	Mannā putra	-
10	Makaroni pa flotski	-
11	Tēja ar cepumiem	-
12	Maizes ar salātiem un desu	-
13	Kruasāni	-
14	Kartupeļu biezputra ar zivju pirkstiņiem	-
15	Cepti kartupeļi ar salātiem	-
16	Cīsiņu zupa	-
17	Cīsiņi	-
18	Olu kultenis ar desu	-
19	Tomātu zupa ar grauzdiņiem	-
20	Omlete ar kūpinātu vistu un brokoļiem	-
21	Klasiskā kartupeļu tortiļja	-
22	Debesmanna ar smiltsērkšķu sulu	-
23	Šķelto zirnīšu zupa	-
24	Salāti ar maizi	-
